author_list,NPI,pub_id,pub_title,pub_date,journal_date
"[{""NPI"":""6989816260""},{""NPI"":""2067895206""},{""NPI"":""6754683945""}]",4959772158,68417941,ac lobortis vel dapibus at,4/11/2014,4/15/2013
"[{""NPI"":""5518415508""},{""NPI"":""3916157817""},{""NPI"":""3059594066""},{""NPI"":""4727502631""}]",6285458642,09487434,in,4/11/2010,4/26/2010
"[{""NPI"":""4979256449""},{""NPI"":""3696044180""},{""NPI"":""9468124053""},{""NPI"":""4324613613""},{""NPI"":""8293896841""}]",0885049578,79951132,dictumst morbi vestibulum velit id pretium,2/8/2006,9/3/2016
"[{""NPI"":1283066823},{""NPI"":""8047416294""},{""NPI"":""6218929833""},{""NPI"":""5703531667""},{""NPI"":""2442162539""}]",5829196514,93747269,leo maecenas pulvinar lobortis,7/6/2017,12/15/2007
"[{""NPI"":""1670762823""}]",0316282510,08626656,ut mauris eget,12/22/2012,6/18/2011
"[{""NPI"":""5703531667""},{""NPI"":""5084347303""}]",5364249271,70182322,pede,4/15/2017,10/29/2007
"[{""NPI"":""4489726945""}]",4958201440,19815910,lectus aliquam,4/1/2012,1/21/2019
"[{""NPI"":""7344445298""},{""NPI"":""3745638867""},{""NPI"":""5909220837""},{""NPI"":""6415018140""},{""NPI"":""3428933001""},{""NPI"":""5691009958""}]",1938984307,25695302,ultrices posuere,4/12/2017,3/19/2011
"[{""NPI"":""7823301016""},{""NPI"":""7667532974""},{""NPI"":""6538300227""},{""NPI"":""8817542679""}]",1789876931,59640090,eget,5/24/2016,3/18/2011
"[{""NPI"":""7387603766""},{""NPI"":""9593022589""},{""NPI"":""7927274589""},{""NPI"":""7168089099""}]",0153500174,63934272,nibh,11/11/2018,7/22/2013
"[{""NPI"":""4092128347""}]",6989816260,75035197,dapibus at diam nam tristique tortor,7/2/2016,5/26/2013
"[{""NPI"":""6147774522""},{""NPI"":""1721474927""},{""NPI"":""8280153497""},{""NPI"":""2854079868""}]",1598058509,09792736,lobortis sapien,3/25/2017,9/24/2013
"[{""NPI"":""4607312894""},{""NPI"":""7366119644""},{""NPI"":""2649292431""}]",6765949437,30894612,non velit nec nisi vulputate nonummy,10/6/2008,6/4/2018
"[{""NPI"":""0393812774""},{""NPI"":""5910967746""},{""NPI"":""5417438928""},{""NPI"":1334014582},{""NPI"":""9658191053""},{""NPI"":""2693198704""}]",8047416294,12833660,volutpat sapien arcu sed augue,6/13/2010,3/21/2013
"[{""NPI"":""8410022966""},{""NPI"":""1067006788""}]",9437787751,14034067,risus praesent lectus vestibulum,10/23/2018,5/15/2015
"[{""NPI"":""8033848154""}]",8744723539,10230256,ante ipsum,7/12/2013,11/24/2008
"[{""NPI"":""7643242038""},{""NPI"":""4701872040""},{""NPI"":""1504447093""}]",6923485118,28191388,sapien,5/10/2013,6/7/2008
"[{""NPI"":""6787560788""},{""NPI"":""3411372559""},{""NPI"":""0804118469""},{""NPI"":""7147537114""}]",3696044180,74062540,non mi integer,12/27/2007,8/14/2007
"[{""NPI"":""7459590231""},{""NPI"":""3592115715""},{""NPI"":""8741084446""},{""NPI"":""1520290950""},{""NPI"":""1763414329""}]",0722291973,39094273,dapibus duis at velit,1/11/2015,9/16/2008
"[{""NPI"":""5095812967""},{""NPI"":""3840263980""},{""NPI"":""4635411214""},{""NPI"":""8177673084""},{""NPI"":""2613282886""},{""NPI"":""0242214002""}]",9709431773,91178152,luctus,1/9/2008,2/6/2011
"[{""NPI"":""9044188240""},{""NPI"":""1537349686""},{""NPI"":""5925516559""},{""NPI"":""3529719129""},{""NPI"":""9415188421""},{""NPI"":""0950708682""}]",8610712737,39357749,platea dictumst morbi,9/19/2015,12/2/2014
"[{""NPI"":""4032957991""},{""NPI"":""9187876582""}]",5238608985,71508051,mattis odio donec vitae nisi,3/10/2011,8/20/2012
"[{""NPI"":""7562613214""},{""NPI"":""0804118469""}]",3548726984,71896070,bibendum imperdiet nullam,8/23/2013,3/13/2019
"[{""NPI"":""7469272615""},{""NPI"":""8120580168""},{""NPI"":""2495975089""},{""NPI"":""1318022193""}]",9635954115,23145880,etiam,9/12/2007,6/12/2009
"[{""NPI"":""1224777417""},{""NPI"":""5041570507""},{""NPI"":""0268243751""},{""NPI"":""6839638235""},{""NPI"":""1789876931""}]",8903932595,60987459,justo lacinia,5/11/2012,1/10/2008
"[{""NPI"":""1039656927""}]",7459590231,91004200,aliquam convallis,1/29/2019,11/19/2009
"[{""NPI"":""1663050155""},{""NPI"":""0814026133""},{""NPI"":""6600334355""},{""NPI"":""2336637022""},{""NPI"":""7562613214""},{""NPI"":""0351710353""}]",8828863900,22908860,elementum ligula vehicula consequat morbi a,2/22/2019,10/28/2009
"[{""NPI"":""6203610232""},{""NPI"":""2291737252""},{""NPI"":""3703590262""},{""NPI"":""0543863719""},{""NPI"":""2291737252""},{""NPI"":""3573888313""}]",4418777318,60036835,egestas,3/5/2006,9/1/2018
"[{""NPI"":""0543863719""},{""NPI"":""5348623156""},{""NPI"":""4592756320""},{""NPI"":""4037920190""},{""NPI"":""6754683945""},{""NPI"":""3649717956""}]",1160768218,49853293,at,10/14/2017,8/26/2019
"[{""NPI"":""3018306953""},{""NPI"":""4571188919""},{""NPI"":""5326835592""}]",8269024465,11586603,in faucibus orci luctus,11/15/2012,1/9/2018
"[{""NPI"":""0483466867""},{""NPI"":""9869563791""}]",0281625514,37298854,sagittis nam congue risus semper,9/1/2018,11/11/2007
"[{""NPI"":""8869157539""}]",0804118469,05981040,enim,4/14/2009,4/30/2016
"[{""NPI"":""6061763980""}]",7064671387,34590034,odio porttitor id consequat in,1/15/2018,9/16/2015
"[{""NPI"":""3821385650""},{""NPI"":""5505604110""},{""NPI"":""7025549576""}]",7912721363,80011690,vestibulum sed magna at nunc,1/14/2009,3/28/2014
"[{""NPI"":""8903932595""},{""NPI"":""3059594066""},{""NPI"":""7855327584""}]",3929651106,94836241,nam dui proin leo odio porttitor,8/23/2017,4/2/2017
"[{""NPI"":""3805953550""},{""NPI"":""6620574920""},{""NPI"":""6086819661""},{""NPI"":8140640816},{""NPI"":""9075745176""},{""NPI"":""7703794171""}]",6736083516,82709362,in consequat ut,7/22/2018,8/16/2008
"[{""NPI"":""4236706679""},{""NPI"":""1624934021""},{""NPI"":""0268243751""}]",3548272282,02128023,vestibulum ante ipsum,7/25/2018,9/18/2008
"[{""NPI"":""0544183649""}]",2530014965,60935118,nulla dapibus dolor,11/22/2011,5/31/2018
"[{""NPI"":""6000067615""},{""NPI"":""1412701643""},{""NPI"":""2046631331""},{""NPI"":""7168740733""},{""NPI"":""8669403862""},{""NPI"":""5813207724""}]",2162685434,18859260,velit vivamus vel nulla eget eros,3/2/2007,2/6/2007
"[{""NPI"":""7832317000""},{""NPI"":""9503188946""},{""NPI"":""9039984212""},{""NPI"":""0355213559""}]",6415018140,76682246,quisque id justo sit amet sapien,3/4/2015,3/14/2007
"[{""NPI"":""1670762823""},{""NPI"":""5578502083""}]",3999490004,18094618,at ipsum ac,5/1/2018,5/4/2010
"[{""NPI"":""1891834592""},{""NPI"":""0355213559""},{""NPI"":""9916276722""},{""NPI"":""5445749053""},{""NPI"":""3037443618""}]",5683334640,86221516,nibh in lectus,3/28/2008,1/10/2011
"[{""NPI"":""9024129249""},{""NPI"":""8603564876""},{""NPI"":""0320994589""}]",8403666667,18144828,nisi,11/13/2015,8/30/2013
"[{""NPI"":""0781825741""},{""NPI"":""0560581432""}]",7299686015,65664666,erat tortor sollicitudin mi,7/3/2007,9/23/2010
"[{""NPI"":""0306248255""},{""NPI"":""0769206360""},{""NPI"":""2336637022""},{""NPI"":""2835110631""}]",1837300968,48783192,vel enim sit,5/17/2015,7/14/2016
"[{""NPI"":""2873377070""},{""NPI"":""8392610849""},{""NPI"":""8612763495""},{""NPI"":""4092247338""},{""NPI"":""6760333810""},{""NPI"":""1277357870""}]",8881136856,90835252,etiam,3/30/2011,5/6/2014
"[{""NPI"":""8287921767""},{""NPI"":""5303068692""},{""NPI"":""5725541533""}]",2947368231,92117241,erat tortor sollicitudin mi sit amet,5/15/2015,10/25/2012
"[{""NPI"":""4194367707""}]",6878406951,25105315,nulla suscipit ligula in lacus,8/10/2009,5/27/2013
"[{""NPI"":""5563497097""},{""NPI"":""8773304212""},{""NPI"":""4302447524""},{""NPI"":""6203610232""},{""NPI"":""9024129249""},{""NPI"":""4002482405""}]",9655010953,70918237,proin at turpis a pede,8/13/2012,1/13/2013
"[{""NPI"":""1893603520""},{""NPI"":""3784981348""},{""NPI"":""3460548843""},{""NPI"":""3915637696""},{""NPI"":""1242997695""}]",6359885034,44965206,ultrices,2/5/2011,6/14/2011
"[{""NPI"":""8349541881""},{""NPI"":""4054702856""},{""NPI"":""8496499359""}]",1938216857,64300280,cum sociis natoque,4/19/2012,5/7/2018
"[{""NPI"":""4785806230""},{""NPI"":""9635954115""},{""NPI"":""8885204430""}]",0814026133,87342741,nulla justo aliquam,1/17/2007,2/20/2006
"[{""NPI"":""0018777015""},{""NPI"":""3592115715""},{""NPI"":""0805024921""},{""NPI"":""1617175102""}]",0802309682,91254896,pede malesuada in imperdiet et commodo,10/10/2012,7/19/2018
"[{""NPI"":""3506219146""},{""NPI"":""6421369235""},{""NPI"":""3914514949""}]",6863700158,49143689,pellentesque ultrices mattis odio donec vitae,2/22/2017,7/14/2014
"[{""NPI"":""6870320748""},{""NPI"":""2283709229""},{""NPI"":""8082475544""}]",1763414329,11573937,vel nisl duis ac,7/19/2007,6/17/2018
"[{""NPI"":""1141858053""}]",5743580006,46243682,ante vestibulum ante ipsum primis,11/19/2010,7/24/2008
"[{""NPI"":""6380993843""}]",5299571720,77327385,elementum in,9/5/2008,10/18/2017
"[{""NPI"":""8577249271""},{""NPI"":""9296581907""},{""NPI"":""7008052871""},{""NPI"":""1335498311""},{""NPI"":""6369977764""}]",1837881685,24400977,eu interdum eu tincidunt in,9/26/2007,4/24/2018
"[{""NPI"":""8177673084""},{""NPI"":""1721474927""},{""NPI"":""9786032071""},{""NPI"":""6808451869""},{""NPI"":""4426041805""},{""NPI"":""5909220837""}]",8817542679,62101754,duis mattis,7/10/2013,8/24/2008
"[{""NPI"":""5458603362""},{""NPI"":""0168984695""}]",8733743665,58614572,interdum mauris ullamcorper purus sit,3/23/2009,3/21/2007
"[{""NPI"":""4138512330""}]",1798477564,44370688,suscipit ligula in lacus,6/6/2009,12/24/2006
"[{""NPI"":""1183220774""},{""NPI"":""0268708940""}]",0211496081,26560516,integer a nibh in quis justo,1/17/2017,6/17/2013
"[{""NPI"":""5505604110""}]",5084347303,94288117,nonummy maecenas tincidunt lacus at velit,11/5/2006,7/14/2014
"[{""NPI"":""9975996450""},{""NPI"":""6501681073""},{""NPI"":""5703531667""},{""NPI"":""9768233729""}]",1798477564,22956478,in faucibus orci luctus et ultrices,4/29/2010,9/10/2008
"[{""NPI"":""2624383247""}]",9268878763,50351108,faucibus orci luctus et ultrices,7/8/2016,12/21/2014
"[{""NPI"":""2861511761""},{""NPI"":""3653644135""},{""NPI"":""8570374437""},{""NPI"":""2385003090""},{""NPI"":""1798477564""},{""NPI"":""5925516559""}]",7667532974,94783536,felis eu sapien cursus,7/21/2007,8/22/2016
"[{""NPI"":""0018777015""}]",5813207724,58959124,praesent id massa id nisl venenatis,4/8/2017,10/2/2012
"[{""NPI"":""8716942612""},{""NPI"":""0138032904""},{""NPI"":""6063662731""},{""NPI"":""6551327125""},{""NPI"":""4037130068""}]",8740215644,68698586,at turpis donec posuere metus vitae,9/29/2017,5/9/2014
"[{""NPI"":""7344445298""}]",7758980430,43152290,luctus et ultrices posuere,9/10/2016,4/5/2010
"[{""NPI"":""6620574920""},{""NPI"":""7667532974""},{""NPI"":""5808297257""},{""NPI"":""9595449903""},{""NPI"":""2495975089""},{""NPI"":""0082427135""}]",4862985874,49374288,volutpat erat quisque,9/28/2007,7/24/2009
"[{""NPI"":""3488533972""},{""NPI"":""0536506000""},{""NPI"":7210385843},{""NPI"":""6157562781""},{""NPI"":""0053015207""},{""NPI"":""3649717956""}]",2380819815,26047344,nulla suscipit ligula in lacus curabitur,12/17/2013,10/27/2018
"[{""NPI"":""8274332342""},{""NPI"":""3037443618""}]",0737263806,65077193,odio in hac,11/20/2009,4/4/2010
"[{""NPI"":""8786548263""},{""NPI"":""6345612162""},{""NPI"":""5888024694""}]",8513742716,12684501,urna pretium nisl ut volutpat sapien,9/14/2017,1/27/2013
"[{""NPI"":""8132014618""},{""NPI"":""2411592795""}]",2411592795,49356591,rutrum at,6/10/2010,8/9/2010
"[{""NPI"":""5581747385""},{""NPI"":""9674935967""},{""NPI"":""2613282886""},{""NPI"":""2653744104""},{""NPI"":""7667532974""},{""NPI"":""4324613613""}]",7562613214,63694573,condimentum neque sapien placerat,9/26/2007,6/6/2017
"[{""NPI"":""5743580006""},{""NPI"":""6607519261""}]",1335498311,60447556,vestibulum vestibulum,5/21/2018,7/12/2019
"[{""NPI"":""6754683945""},{""NPI"":""5911112973""},{""NPI"":""0913125830""},{""NPI"":""1053627920""},{""NPI"":""1777453291""},{""NPI"":""0351710353""}]",5269221810,07009374,ut nunc vestibulum ante ipsum,5/31/2012,5/30/2012
"[{""NPI"":""0890343969""},{""NPI"":""4194367707""},{""NPI"":""8903932595""},{""NPI"":""3674094150""},{""NPI"":""9593022589""},{""NPI"":""9437787751""}]",4082573690,26221343,id sapien in sapien,4/9/2007,2/23/2017
"[{""NPI"":""8082389370""},{""NPI"":""4979256449""}]",7823301016,35922596,dictumst,9/27/2015,3/30/2018
"[{""NPI"":""3375816359""}]",9907182656,60049872,in hac,8/23/2008,6/28/2015
"[{""NPI"":""6586469686""},{""NPI"":""9907182656""},{""NPI"":""4002482405""}]",7954677850,82078400,donec dapibus duis at velit,1/15/2014,12/25/2009
"[{""NPI"":""2905796464""},{""NPI"":""2381338020""},{""NPI"":""6754683945""}]",3961671885,06717372,pretium iaculis justo in,3/28/2013,5/26/2006
"[{""NPI"":2099272956},{""NPI"":""4786901180""},{""NPI"":1283066823},{""NPI"":""9048573203""}]",0330514881,10636837,dolor sit,9/12/2013,8/11/2008
"[{""NPI"":""4229336837""},{""NPI"":""4610275910""},{""NPI"":""3018306953""},{""NPI"":""6241457489""},{""NPI"":""8570374437""}]",2081037920,09887334,pellentesque,3/20/2010,6/14/2006
"[{""NPI"":""4236706679""}]",5215506973,79247007,venenatis tristique fusce congue diam id,4/26/2008,2/25/2016
"[{""NPI"":""0238657965""},{""NPI"":""5326835592""},{""NPI"":""7469272615""},{""NPI"":""1318022193""},{""NPI"":""3809560022""}]",6383124242,66924958,diam,4/27/2019,4/12/2010
"[{""NPI"":""8173170347""},{""NPI"":""0359405274""},{""NPI"":""8828863900""},{""NPI"":""0984322248""}]",2921028719,23684731,dui,6/3/2006,7/14/2009
"[{""NPI"":""3745638867""},{""NPI"":""0425479188""}]",0242094686,56091980,augue luctus tincidunt nulla mollis,7/8/2012,7/6/2012
"[{""NPI"":""0351710353""},{""NPI"":""2045174573""},{""NPI"":""8269024465""},{""NPI"":""9063999194""},{""NPI"":""9869563791""},{""NPI"":""0573786062""}]",0198817665,05208071,rutrum rutrum neque aenean auctor,3/25/2014,7/4/2008
"[{""NPI"":""5364249271""},{""NPI"":""1699710619""},{""NPI"":""6273581444""},{""NPI"":""3789463159""}]",5303135381,07154964,nullam,5/5/2018,11/3/2009
"[{""NPI"":""6770935260""},{""NPI"":""8513742716""},{""NPI"":""3375816359""},{""NPI"":""5337850318""},{""NPI"":""9593022589""},{""NPI"":""8515315831""}]",8786548263,86014454,vestibulum,9/12/2017,4/16/2018
"[{""NPI"":""1758761954""},{""NPI"":""2615817787""}]",9415188421,89213061,lacus,11/26/2005,10/2/2011
"[{""NPI"":""1089995814""},{""NPI"":""6297715769""},{""NPI"":""9037061133""},{""NPI"":""3528589825""},{""NPI"":""7330842532""},{""NPI"":""1938216857""}]",3929651106,00360180,augue quam sollicitudin vitae,7/20/2019,5/16/2019
"[{""NPI"":""5709621072""},{""NPI"":""8050037738""},{""NPI"":""0244857490""},{""NPI"":""9476356030""}]",0917283325,44328042,erat id mauris vulputate elementum,10/18/2005,12/25/2017
"[{""NPI"":""5984020769""},{""NPI"":""1574979531""},{""NPI"":""4687390331""},{""NPI"":""3548272282""},{""NPI"":""3853713084""}]",1239424973,89655166,velit donec diam neque,1/18/2017,9/23/2019
"[{""NPI"":""0560581432""}]",0320994589,69433641,sed nisl nunc rhoncus dui vel,1/5/2009,11/28/2015
"[{""NPI"":""6383124242""}]",3528589825,52831434,diam in magna,2/3/2016,3/11/2011
"[{""NPI"":""5012024974""}]",5084347303,73003107,venenatis,11/12/2007,8/30/2016
"[{""NPI"":""3408675813""},{""NPI"":""3529719129""},{""NPI"":""3789463159""},{""NPI"":""7903195441""},{""NPI"":""1837300968""},{""NPI"":""2100427393""}]",2792742674,78031251,duis bibendum felis,4/4/2010,6/14/2013
"[{""NPI"":""7888350801""}]",2887899473,81440808,vestibulum ac est,5/5/2010,8/11/2009
"[{""NPI"":""5156132464""},{""NPI"":""8742524237""},{""NPI"":""6061763980""}]",3530163740,00402599,integer non velit donec,7/16/2013,4/1/2011
"[{""NPI"":""9330683452""},{""NPI"":""7927274589""},{""NPI"":""0211496081""},{""NPI"":""9020719610""},{""NPI"":""3529719129""}]",2730564101,95349354,convallis eget eleifend luctus ultricies,11/4/2015,12/29/2006
"[{""NPI"":""9326646025""},{""NPI"":""8496499359""}]",2067408038,01354740,justo,9/6/2010,7/15/2007
"[{""NPI"":""7436573020""}]",8802790965,42658321,odio elementum eu interdum eu tincidunt,8/24/2013,9/29/2012
"[{""NPI"":""2583540181""}]",5068277177,76540453,sollicitudin vitae,10/4/2011,5/3/2011
"[{""NPI"":""7049246921""}]",0769830145,86462369,luctus et ultrices,10/19/2014,7/17/2008
"[{""NPI"":""8384460841""},{""NPI"":""1053627920""},{""NPI"":""8372755299""},{""NPI"":""5563497097""},{""NPI"":""2081037920""},{""NPI"":""5991364923""}]",8577249271,45348289,pretium quis lectus suspendisse,6/28/2019,7/25/2014
"[{""NPI"":""9158908625""},{""NPI"":""4138512330""},{""NPI"":""3054037185""},{""NPI"":""0769206360""},{""NPI"":""6808451869""}]",3929651106,74370016,orci nullam molestie nibh in,8/17/2009,9/4/2017
"[{""NPI"":""1796503207""},{""NPI"":""9528731074""},{""NPI"":""9444803023""},{""NPI"":""3929651106""},{""NPI"":""4445162957""}]",6870320748,21854172,cursus,2/11/2007,10/27/2016
"[{""NPI"":""4697857933""},{""NPI"":""8589162788""},{""NPI"":""0825755212""}]",8269024465,50671086,neque aenean auctor gravida,3/1/2008,2/27/2006
"[{""NPI"":""5563497097""}]",1924542218,17808635,fermentum justo,1/22/2016,5/25/2009
"[{""NPI"":""1560368330""},{""NPI"":""1953564151""},{""NPI"":""5703531667""}]",0359405274,85442084,orci pede venenatis non sodales sed,10/28/2018,10/27/2007
"[{""NPI"":""7080997771""},{""NPI"":""9075745176""},{""NPI"":""6834840893""},{""NPI"":""8881136856""}]",1924542218,74019607,ut erat curabitur gravida,10/23/2015,8/21/2010
"[{""NPI"":""8609043460""},{""NPI"":""1663050155""},{""NPI"":""3375816359""},{""NPI"":""0544183649""},{""NPI"":""4607312894""}]",9878050912,34198563,tellus in sagittis dui,11/20/2009,7/16/2019
"[{""NPI"":""4229336837""}]",0536506000,90502011,pede ac diam cras pellentesque volutpat,12/25/2017,6/22/2010
"[{""NPI"":""4701556009""}]",6411633177,57972953,eleifend donec ut dolor morbi,3/14/2010,8/3/2006
"[{""NPI"":""0647118076""},{""NPI"":""7267330606""},{""NPI"":""0242214002""},{""NPI"":""0722291973""},{""NPI"":""0482292237""}]",6863700158,53318388,tempus,6/2/2018,3/15/2011
"[{""NPI"":""5772835807""},{""NPI"":""3037443618""},{""NPI"":""2347406086""}]",0225551551,99321769,pharetra magna ac consequat,9/18/2006,12/29/2011
"[{""NPI"":""1699710619""},{""NPI"":""4418777318""}]",3866821786,98010611,parturient montes nascetur ridiculus,2/15/2013,7/25/2016
"[{""NPI"":""1719757712""},{""NPI"":""4555770706""},{""NPI"":""5984020769""},{""NPI"":""0133088901""},{""NPI"":""1188042106""},{""NPI"":""1777453291""}]",0062980343,96562208,lacus curabitur,7/18/2006,3/24/2012
"[{""NPI"":""3853713084""},{""NPI"":""4571188919""},{""NPI"":""1346802653""}]",3655585071,85546077,semper porta,5/20/2016,5/12/2015
"[{""NPI"":""3483434402""},{""NPI"":""3558632222""},{""NPI"":""2056878399""},{""NPI"":""1277357870""},{""NPI"":""8515315831""}]",6727825513,73478038,vestibulum ante ipsum,5/14/2008,7/24/2008
"[{""NPI"":""4026044416""},{""NPI"":""2290403172""},{""NPI"":""2067408038""},{""NPI"":""6950255187""},{""NPI"":""3488533972""}]",4765454681,98869372,nisi eu orci mauris lacinia sapien,7/29/2019,12/22/2015
"[{""NPI"":""8669403862""}]",1138375586,01606115,eu tincidunt,1/7/2009,3/24/2008
"[{""NPI"":""8403666667""},{""NPI"":""1164206443""},{""NPI"":""6677892670""},{""NPI"":""3431218679""}]",1482536870,16824631,posuere cubilia curae donec pharetra magna,7/16/2018,2/6/2013
"[{""NPI"":""3552908145""},{""NPI"":""2725197791""}]",0857205943,90593423,quam,6/1/2011,5/12/2013
"[{""NPI"":""7044669506""},{""NPI"":""2693198704""},{""NPI"":""7875570840""},{""NPI"":""0737263806""},{""NPI"":""8515315831""}]",5518415508,59855850,congue,6/12/2008,4/19/2014
"[{""NPI"":""2624705767""},{""NPI"":""1763414329""},{""NPI"":""5532819459""},{""NPI"":""5206690554""},{""NPI"":""6241457489""},{""NPI"":""3682510400""}]",2653744104,61567684,laoreet,2/1/2011,10/24/2006
"[{""NPI"":""2905796464""},{""NPI"":""9985719786""},{""NPI"":""8828863900""},{""NPI"":""8653009183""},{""NPI"":""6388276458""}]",2999378874,26709357,lobortis convallis,10/6/2013,9/8/2017
"[{""NPI"":""7621291974""},{""NPI"":""2583540181""}]",9655010953,96609716,ac,5/17/2010,2/22/2013
"[{""NPI"":""8253491700""},{""NPI"":""7699183533""},{""NPI"":""7168740733""},{""NPI"":""4082573690""},{""NPI"":""1763414329""},{""NPI"":""9791528772""}]",5910967746,85699712,rhoncus mauris enim leo rhoncus,10/29/2013,3/29/2017
"[{""NPI"":""5143994675""},{""NPI"":""6631412293""},{""NPI"":""2530014965""},{""NPI"":""4765454681""},{""NPI"":""7832317000""}]",4592756320,49965323,quis libero nullam sit amet turpis,12/6/2012,11/5/2015
"[{""NPI"":""5435385431""},{""NPI"":""5716356397""}]",6878518210,99968574,elementum in,3/28/2018,11/29/2011
"[{""NPI"":""8097795310""},{""NPI"":""4701556009""},{""NPI"":""1560368330""},{""NPI"":""8298837126""},{""NPI"":""9037061133""},{""NPI"":""1277357870""}]",5583334363,07065434,sed tincidunt,2/27/2009,8/26/2016
"[{""NPI"":""5563497097""},{""NPI"":""5391262070""},{""NPI"":""4785806230""},{""NPI"":""1744868565""}]",6395063200,16784682,non quam nec dui luctus,5/20/2012,9/20/2017
"[{""NPI"":""2914230818""}]",9040239207,32093519,justo eu massa donec dapibus,1/3/2011,6/19/2008
"[{""NPI"":""4851637896""},{""NPI"":""2334278564""},{""NPI"":""6922899598""},{""NPI"":""2743207280""},{""NPI"":""0304207977""}]",0761842233,08692231,amet diam in magna,1/15/2012,12/13/2013
"[{""NPI"":""6434187122""}]",2076572457,31343102,neque duis,3/7/2008,1/27/2016
"[{""NPI"":""9017679476""}]",4229336837,78278233,nunc vestibulum ante,5/24/2019,2/5/2010
"[{""NPI"":""1796503207""}]",5175122185,68669219,ultrices posuere cubilia curae nulla,8/27/2008,8/13/2014
"[{""NPI"":""2815572060""},{""NPI"":""5578502083""},{""NPI"":""5041570507""},{""NPI"":""3910038816""},{""NPI"":""2624383247""},{""NPI"":""3853627595""}]",3548272282,88266897,ut massa quis augue,4/25/2009,8/6/2017
"[{""NPI"":""0120954435""}]",5900482332,69570979,turpis,9/5/2015,6/8/2009
"[{""NPI"":""4684494373""},{""NPI"":""1719757712""},{""NPI"":""8741084446""},{""NPI"":""4382740339""},{""NPI"":""9444803023""}]",8070771984,20544138,leo odio,6/13/2009,4/14/2013
"[{""NPI"":""9293736535""},{""NPI"":""9048573203""},{""NPI"":""5824909253""},{""NPI"":""0393812774""},{""NPI"":""5215506973""},{""NPI"":""2291737252""}]",2624383247,32810531,vestibulum sed magna,12/31/2018,2/4/2017
"[{""NPI"":""8773304212""},{""NPI"":""3558632222""},{""NPI"":""0320994589""}]",4592756320,43667184,vel dapibus,6/26/2007,12/21/2016
"[{""NPI"":""9343151454""},{""NPI"":""6923485118""},{""NPI"":""3323926625""},{""NPI"":""3343410578""},{""NPI"":""3809560022""},{""NPI"":""9211918448""}]",2339174686,85750761,quam pharetra magna,10/8/2011,5/27/2012
"[{""NPI"":""3037443618""},{""NPI"":""2334278564""},{""NPI"":""3488533972""},{""NPI"":""8117774542""},{""NPI"":""4785806230""}]",3038853291,73353755,cum,1/28/2009,10/4/2010
"[{""NPI"":""7299686015""},{""NPI"":""9975996450""},{""NPI"":""8097795310""},{""NPI"":""6966367605""},{""NPI"":""7183487296""}]",3483434402,56177948,in felis donec,5/30/2009,3/23/2007
"[{""NPI"":""1490008179""},{""NPI"":""8558938288""},{""NPI"":1283066823}]",8828276126,79736710,primis in faucibus,10/13/2015,6/1/2006
"[{""NPI"":""4738495038""},{""NPI"":""0320994589""},{""NPI"":""6950255187""},{""NPI"":""9048573203""},{""NPI"":""2654745163""},{""NPI"":""3784981348""}]",1482536870,50462470,commodo placerat praesent,3/22/2006,9/26/2016
"[{""NPI"":""8298837126""},{""NPI"":""8362755792""},{""NPI"":""7857315885""},{""NPI"":""5215506973""}]",2911636015,55857535,eleifend quam a odio in hac,5/2/2014,2/18/2010
"[{""NPI"":""1749286068""},{""NPI"":""9975996450""},{""NPI"":""2583540181""}]",2653744104,14170797,vitae,8/25/2017,2/19/2017
"[{""NPI"":""5348623156""},{""NPI"":""1744868565""},{""NPI"":""6646117284""}]",1784464848,85871670,donec diam neque vestibulum eget vulputate,5/24/2013,8/22/2015
"[{""NPI"":""4232895191""},{""NPI"":""0917283325""},{""NPI"":""5417438928""},{""NPI"":""2890394573""}]",0849244617,89797647,adipiscing elit proin,11/14/2015,8/23/2019
"[{""NPI"":""5716356397""},{""NPI"":""8258849352""}]",3214812874,01323756,nulla ultrices,7/5/2019,4/1/2014
"[{""NPI"":""4059395536""},{""NPI"":""6147774522""}]",5445749053,18245680,semper porta volutpat quam pede lobortis,2/18/2014,8/28/2010
"[{""NPI"":""9437787751""}]",3455200745,91612253,tempor turpis,6/29/2010,10/31/2018
"[{""NPI"":""0371853672""},{""NPI"":""7927274589""},{""NPI"":""0769830145""}]",2887899473,83903081,vulputate vitae,6/24/2018,6/3/2007
"[{""NPI"":""9330683452""},{""NPI"":""2385003090""},{""NPI"":""4020282412""},{""NPI"":""7875570840""},{""NPI"":""1173496718""}]",1755355297,58472065,magnis dis parturient montes nascetur,8/18/2007,3/2/2017
"[{""NPI"":""6863700158""},{""NPI"":""1938984307""}]",2261946848,42525936,placerat ante nulla,12/1/2008,10/24/2011
"[{""NPI"":""1110382073""},{""NPI"":""3182668366""}]",6870320748,75320428,lectus vestibulum,3/17/2016,12/23/2005
"[{""NPI"":""5683334640""}]",4901848194,15098341,congue risus semper porta,2/16/2009,7/18/2015
"[{""NPI"":""9591791461""},{""NPI"":""0444040579""}]",9437787751,76975846,montes nascetur ridiculus mus vivamus,9/11/2007,3/25/2008
"[{""NPI"":""8881136856""},{""NPI"":""2452628093""},{""NPI"":""1924542218""},{""NPI"":""5929901651""},{""NPI"":""8744723539""}]",2724280199,69017000,ante,6/18/2018,12/1/2007
